sample_name,mmw_HR_raw,ECG_HR, ,seg_dtw,mmw_HR_dtw,  ,seg_drscc,mmw_HR_drscc,   ,seg_xcorr,mmw_HR_xcorr,    ,seg_gccphat,mmw_HR_gccphat,     ,seg_peaks_drift,mmw_HR_peaks_drift
sample_30,125.93312960879958,87.0,,"[13.30, 43.30]",127.20120069358805,,"[9.09, 39.09]",127.96379782004843,,"[9.09, 39.09]",127.96379782004843,,"[3.71, 33.71]",128.10731741465082,,"[8.08, 38.08]",127.96379782004843
sample_31,129.9265616013755,94.0,,"[23.20, 53.20]",179.44917562373297,,"[9.74, 39.74]",177.9080474912616,,"[9.74, 39.74]",177.9080474912616,,"[29.54, 59.54]",129.8565037889428,,"[10.19, 40.19]",177.90804749126818
sample_32,67.45018818612579,102.0,,"[20.25, 50.25]",127.48514149665971,,"[9.19, 39.19]",66.63996032779816,,"[9.19, 39.19]",66.63996032779816,,"[8.86, 38.86]",127.02765893147796,,"[8.90, 38.90]",127.02765893147796
sample_33,122.450439281978,93.0,,"[0.95, 30.95]",121.33328298964051,,"[29.51, 59.51]",122.52121475412724,,"[29.51, 59.51]",122.52121475412724,,"[8.08, 38.08]",122.38776313135456,,"[27.95, 57.95]",122.52673238929529
sample_34,127.0370700294317,88.0,,"[6.15, 36.15]",127.87635397689722,,"[17.85, 47.85]",128.03124057186332,,"[17.85, 47.85]",128.03124057186332,,"[5.67, 35.67]",128.02895105801525,,"[19.53, 49.53]",72.02711030979677
sample_35,127.56763236515718,86.0,,"[3.15, 33.15]",128.0530798757054,,"[24.83, 54.83]",133.40315863430783,,"[24.83, 54.83]",133.40315863430783,,"[6.40, 36.40]",128.0254109501996,,"[30.00, 60.00]",118.58634997857105
sample_36,118.18002100096398,81.0,,"[30.00, 60.00]",118.0897859852484,,"[29.65, 59.65]",118.0897859852484,,"[29.65, 59.65]",118.0897859852484,,"[1.90, 31.90]",125.30191352685998,,"[28.60, 58.60]",121.14120164378195
sample_37,129.15899365334764,91.0,,"[30.00, 60.00]",128.49829546510566,,"[12.65, 42.65]",126.46242053382157,,"[12.65, 42.65]",126.46242053382157,,"[29.62, 59.62]",128.4788179887038,,"[12.71, 42.71]",126.46242053382157
sample_38,132.86222964759347,77.0,,"[30.00, 60.00]",127.36799037116639,,"[1.90, 31.90]",130.42159167473295,,"[1.90, 31.90]",130.42159167473295,,"[6.49, 36.49]",136.06556698697287,,"[3.29, 33.30]",124.3199967425817
sample_39,122.75195346309216,83.0,,"[23.25, 53.25]",127.25328127159928,,"[18.09, 48.09]",134.8827991708606,,"[18.09, 48.09]",134.8827991708606,,"[18.34, 48.34]",134.8827991708606,,"[16.81, 46.81]",179.74201065981865
